index,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
1925,PHX,PHX vs. NOP,11/24/2017,L,240,91,37,94,39.4,2,20,10.0,15,18,83.3,15,33,48,12,9,6,17,18,-24
1926,NOP,NOP @ PHX,11/24/2017,W,240,115,45,91,49.5,9,27,33.3,16,22,72.7,13,36,49,29,10,4,15,18,24
1927,GSW,GSW vs. CHI,11/24/2017,W,240,143,53,91,58.2,16,36,44.4,21,21,100.0,6,43,49,36,11,11,11,15,49
1928,CHI,CHI @ GSW,11/24/2017,L,240,94,35,99,35.4,13,36,36.1,11,15,73.3,13,27,40,18,7,2,15,17,-49
1929,SAS,SAS @ NOP,11/22/2017,L,240,90,35,88,39.8,6,24,25.0,14,15,93.3,8,31,39,22,10,5,16,23,-17
1930,NOP,NOP vs. SAS,11/22/2017,W,240,107,39,81,48.1,7,24,29.2,22,24,91.7,7,38,45,23,7,2,16,18,17
1931,GSW,GSW @ OKC,11/22/2017,L,240,91,33,80,41.3,10,31,32.3,15,18,83.3,7,32,39,22,11,8,22,20,-17
1932,OKC,OKC vs. GSW,11/22/2017,W,240,108,41,90,45.6,8,25,32.0,18,26,69.2,13,37,50,16,15,5,17,21,17
1933,MEM,MEM vs. DAL,11/22/2017,L,240,94,37,81,45.7,7,29,24.1,13,14,92.9,6,46,52,25,7,6,17,25,-1
1934,DAL,DAL @ MEM,11/22/2017,W,240,95,39,91,42.9,9,28,32.1,8,16,50.0,4,36,40,23,9,2,8,14,1
1935,WAS,WAS @ CHA,11/22/2017,L,265,124,48,99,48.5,11,33,33.3,17,22,77.3,9,34,43,25,4,6,13,29,-5
1936,CHA,CHA vs. WAS,11/22/2017,W,265,129,43,91,47.3,10,28,35.7,33,40,82.5,14,34,48,23,5,5,12,20,5
1937,ORL,ORL @ MIN,11/22/2017,L,240,118,46,91,50.5,12,37,32.4,14,22,63.6,7,37,44,28,4,4,15,31,-6
1938,MIN,MIN vs. ORL,11/22/2017,W,240,124,40,87,46.0,8,23,34.8,36,45,80.0,10,32,42,22,9,3,8,17,6
1939,LAL,LAL @ SAC,11/22/2017,L,240,102,39,78,50.0,15,29,51.7,9,15,60.0,4,28,32,27,8,4,17,19,-11
1940,SAC,SAC vs. LAL,11/22/2017,W,240,113,47,85,55.3,10,21,47.6,9,14,64.3,10,34,44,26,9,4,17,20,11
1941,CHI,CHI @ UTA,11/22/2017,L,240,80,29,78,37.2,5,21,23.8,17,20,85.0,8,35,43,15,3,1,16,21,-30
1942,UTA,UTA vs. CHI,11/22/2017,W,240,110,40,86,46.5,14,35,40.0,16,19,84.2,8,37,45,23,10,5,7,15,30
1943,ATL,ATL vs. LAC,11/22/2017,L,240,103,40,83,48.2,10,29,34.5,13,15,86.7,9,27,36,26,10,2,15,20,-13
1944,LAC,LAC @ ATL,11/22/2017,W,240,116,44,76,57.9,15,30,50.0,13,19,68.4,6,27,33,30,7,4,17,15,13
1945,MIA,MIA vs. BOS,11/22/2017,W,240,104,40,81,49.4,10,28,35.7,14,16,87.5,7,41,48,20,3,4,16,22,6
1946,BOS,BOS @ MIA,11/22/2017,L,240,98,35,84,41.7,9,26,34.6,19,27,70.4,7,30,37,19,11,4,11,19,-6
1947,HOU,HOU vs. DEN,11/22/2017,W,240,125,45,82,54.9,18,41,43.9,17,23,73.9,8,38,46,30,13,4,18,22,30
1948,DEN,DEN @ HOU,11/22/2017,L,240,95,35,87,40.2,10,33,30.3,15,23,65.2,15,28,43,19,11,5,21,14,-30
1949,BKN,BKN @ CLE,11/22/2017,L,240,109,42,81,51.9,14,37,37.8,11,16,68.8,8,34,42,26,5,2,19,21,-10
1950,CLE,CLE vs. BKN,11/22/2017,W,240,119,43,82,52.4,14,34,41.2,19,27,70.4,4,29,33,21,8,2,10,19,10
1951,PHX,PHX vs. MIL,11/22/2017,L,265,107,37,93,39.8,7,22,31.8,26,33,78.8,22,38,60,15,7,9,29,26,-6
1952,MIL,MIL @ PHX,11/22/2017,W,265,113,42,97,43.3,8,29,27.6,21,31,67.7,13,29,42,19,16,6,15,30,6
1953,NYK,NYK vs. TOR,11/22/2017,W,240,108,43,93,46.2,8,24,33.3,14,17,82.4,13,34,47,29,8,7,12,19,8
1954,TOR,TOR @ NYK,11/22/2017,L,240,100,37,87,42.5,14,38,36.8,12,18,66.7,12,30,42,21,4,10,15,23,-8
1955,PHI,PHI vs. POR,11/22/2017,W,240,101,39,90,43.3,11,32,34.4,12,17,70.6,11,46,57,23,12,8,18,21,20
1956,POR,POR @ PHI,11/22/2017,L,240,81,30,89,33.7,7,26,26.9,14,24,58.3,11,37,48,14,8,6,17,17,-20
1957,LAL,LAL vs. CHI,11/21/2017,W,240,103,36,90,40.0,13,40,32.5,18,25,72.0,12,41,53,23,7,6,14,16,9
1958,CHI,CHI @ LAL,11/21/2017,L,240,94,36,94,38.3,11,36,30.6,11,16,68.8,15,39,54,22,4,4,14,19,-9
1959,OKC,OKC @ NOP,11/20/2017,L,240,107,38,89,42.7,11,35,31.4,20,26,76.9,9,31,40,22,14,2,14,25,-7
1960,NOP,NOP vs. OKC,11/20/2017,W,240,114,41,80,51.3,7,25,28.0,25,32,78.1,7,42,49,26,8,3,19,22,7
1961,MEM,MEM vs. POR,11/20/2017,L,240,92,33,86,38.4,8,30,26.7,18,23,78.3,5,30,35,23,6,9,8,26,-8
1962,POR,POR @ MEM,11/20/2017,W,240,100,33,83,39.8,6,15,40.0,28,32,87.5,15,45,60,11,1,9,17,23,8
1963,MIN,MIN @ CHA,11/20/2017,L,240,102,37,90,41.1,6,27,22.2,22,26,84.6,10,28,38,13,8,6,11,21,-16
1964,CHA,CHA vs. MIN,11/20/2017,W,240,118,42,85,49.4,11,26,42.3,23,29,79.3,11,41,52,22,5,7,17,18,16
1965,SAC,SAC vs. DEN,11/20/2017,L,240,98,41,86,47.7,8,20,40.0,8,9,88.9,5,29,34,18,11,6,13,19,-16
1966,DEN,DEN @ SAC,11/20/2017,W,240,114,42,86,48.8,15,32,46.9,15,20,75.0,14,35,49,18,6,3,14,13,16
1967,WAS,WAS @ MIL,11/20/2017,W,240,99,39,74,52.7,9,24,37.5,12,17,70.6,8,38,46,23,4,1,18,18,11
1968,MIL,MIL vs. WAS,11/20/2017,L,240,88,35,79,44.3,4,22,18.2,14,19,73.7,6,27,33,17,10,7,10,19,-11
1969,DAL,DAL vs. BOS,11/20/2017,L,265,102,39,96,40.6,7,33,21.2,17,20,85.0,8,37,45,18,7,3,11,22,-8
1970,BOS,BOS @ DAL,11/20/2017,W,265,110,38,84,45.2,13,36,36.1,21,26,80.8,5,48,53,24,8,4,17,24,8
1971,DET,DET vs. CLE,11/20/2017,L,240,88,34,77,44.2,13,30,43.3,7,13,53.8,7,27,34,23,7,2,14,19,-28
1972,CLE,CLE @ DET,11/20/2017,W,240,116,42,80,52.5,16,33,48.5,16,17,94.1,7,35,42,28,4,2,11,14,28
1973,ORL,ORL vs. IND,11/20/2017,L,240,97,35,84,41.7,13,38,34.2,14,23,60.9,11,39,50,23,6,7,22,20,-8
1974,IND,IND @ ORL,11/20/2017,W,240,105,37,89,41.6,8,20,40.0,23,29,79.3,8,40,48,25,17,4,13,25,8
1975,LAC,LAC @ NYK,11/20/2017,L,240,85,30,80,37.5,10,32,31.3,15,21,71.4,10,26,36,20,12,3,22,23,-22
1976,NYK,NYK vs. LAC,11/20/2017,W,240,107,35,81,43.2,13,34,38.2,24,25,96.0,14,37,51,24,11,5,22,26,22
1977,ATL,ATL @ SAS,11/20/2017,L,240,85,37,85,43.5,8,30,26.7,3,8,37.5,9,29,38,21,7,7,15,15,-11
1978,SAS,SAS vs. ATL,11/20/2017,W,240,96,40,89,44.9,10,31,32.3,6,6,100.0,14,38,52,29,7,5,18,17,11
1979,PHI,PHI vs. UTA,11/20/2017,W,240,107,44,85,51.8,4,15,26.7,15,22,68.2,9,46,55,20,11,7,20,18,21
1980,UTA,UTA @ PHI,11/20/2017,L,240,86,30,85,35.3,9,28,32.1,17,19,89.5,7,27,34,18,16,4,14,19,-21
1981,TOR,TOR vs. WAS,11/19/2017,W,240,100,40,90,44.4,10,39,25.6,10,14,71.4,11,37,48,20,8,7,8,19,9
1982,WAS,WAS @ TOR,11/19/2017,L,240,91,34,81,42.0,11,19,57.9,12,21,57.1,8,35,43,20,5,3,14,12,-9
1983,MIN,MIN vs. DET,11/19/2017,L,240,97,40,78,51.3,5,22,22.7,12,18,66.7,6,32,38,23,11,4,21,20,-3
1984,DET,DET @ MIN,11/19/2017,W,240,100,39,83,47.0,8,25,32.0,14,20,70.0,11,26,37,25,10,2,19,21,3
1985,MIA,MIA vs. IND,11/19/2017,L,240,95,35,83,42.2,13,37,35.1,12,14,85.7,10,25,35,21,8,2,16,11,-25
1986,IND,IND @ MIA,11/19/2017,W,240,120,51,85,60.0,11,23,47.8,7,8,87.5,9,33,42,33,9,7,14,14,25
1987,BKN,BKN vs. GSW,11/19/2017,L,240,111,34,95,35.8,16,48,33.3,27,39,69.2,13,39,52,24,7,2,13,21,-7
1988,GSW,GSW @ BKN,11/19/2017,W,240,118,46,90,51.1,10,24,41.7,16,23,69.6,6,51,57,29,8,14,15,27,7
1989,CHI,CHI @ PHX,11/19/2017,L,240,105,42,101,41.6,12,36,33.3,9,14,64.3,12,35,47,20,5,1,13,21,-8
1990,PHX,PHX vs. CHI,11/19/2017,W,240,113,45,89,50.6,7,27,25.9,16,22,72.7,9,39,48,32,5,4,12,16,8
1991,LAL,LAL vs. DEN,11/19/2017,W,240,127,53,100,53.0,12,32,37.5,9,16,56.3,13,33,46,36,11,5,15,27,18
1992,DEN,DEN @ LAL,11/19/2017,L,240,109,36,84,42.9,13,31,41.9,24,35,68.6,17,30,47,18,8,8,20,15,-18
1993,HOU,HOU @ MEM,11/18/2017,W,240,105,35,78,44.9,18,43,41.9,17,21,81.0,9,36,45,21,8,9,16,24,22
1994,MEM,MEM vs. HOU,11/18/2017,L,240,83,31,86,36.0,7,27,25.9,14,19,73.7,15,33,48,18,6,7,13,18,-22
1995,LAC,LAC @ CHA,11/18/2017,L,240,87,33,83,39.8,8,29,27.6,13,19,68.4,7,37,44,18,5,6,14,22,-15
1996,CHA,CHA vs. LAC,11/18/2017,W,240,102,34,87,39.1,11,26,42.3,23,29,79.3,8,41,49,20,7,9,8,16,15
1997,DAL,DAL vs. MIL,11/18/2017,W,240,111,38,79,48.1,19,38,50.0,16,19,84.2,7,42,49,27,7,2,17,26,32
1998,MIL,MIL @ DAL,11/18/2017,L,240,79,28,74,37.8,6,25,24.0,17,31,54.8,8,30,38,13,8,5,12,25,-32
1999,ATL,ATL vs. BOS,11/18/2017,L,240,99,37,78,47.4,9,24,37.5,16,20,80.0,6,29,35,24,7,1,14,19,-11
2000,BOS,BOS @ ATL,11/18/2017,W,240,110,39,82,47.6,16,34,47.1,16,20,80.0,9,32,41,21,9,6,15,22,11
2001,POR,POR vs. SAC,11/18/2017,W,240,102,38,70,54.3,10,21,47.6,16,21,76.2,5,39,44,19,6,8,18,22,12
2002,SAC,SAC @ POR,11/18/2017,L,240,90,34,89,38.2,8,17,47.1,14,18,77.8,9,27,36,14,9,4,11,24,-12
2003,UTA,UTA @ ORL,11/18/2017,W,240,125,47,98,48.0,14,34,41.2,17,18,94.4,14,40,54,31,10,4,11,19,40
2004,ORL,ORL vs. UTA,11/18/2017,L,240,85,31,81,38.3,8,29,27.6,15,23,65.2,11,35,46,13,10,5,16,20,-40
2005,PHI,PHI vs. GSW,11/18/2017,L,240,116,47,97,48.5,10,29,34.5,12,16,75.0,11,29,40,28,8,5,11,22,-8
2006,GSW,GSW @ PHI,11/18/2017,W,240,124,50,91,54.9,7,23,30.4,17,20,85.0,11,37,48,25,5,6,13,18,8
2007,NYK,NYK @ TOR,11/17/2017,L,240,84,30,91,33.0,9,23,39.1,15,17,88.2,14,29,43,17,7,4,10,12,-23
2008,TOR,TOR vs. NYK,11/17/2017,W,240,107,44,78,56.4,9,26,34.6,10,11,90.9,3,37,40,29,4,11,12,19,23
2009,MIA,MIA @ WAS,11/17/2017,W,240,91,34,83,41.0,10,35,28.6,13,18,72.2,10,42,52,21,6,7,15,19,3
2010,WAS,WAS vs. MIA,11/17/2017,L,240,88,32,84,38.1,10,35,28.6,14,16,87.5,7,39,46,18,4,4,12,17,-3
2011,NOP,NOP @ DEN,11/17/2017,L,240,114,48,91,52.7,12,33,36.4,6,10,60.0,8,21,29,32,2,0,13,19,-32
2012,DEN,DEN vs. NOP,11/17/2017,W,240,146,56,89,62.9,18,35,51.4,16,21,76.2,13,35,48,37,5,4,15,15,32
2013,POR,POR @ SAC,11/17/2017,L,240,82,30,81,37.0,7,25,28.0,15,16,93.8,11,33,44,13,8,1,18,20,-4
2014,SAC,SAC vs. POR,11/17/2017,W,240,86,36,85,42.4,4,14,28.6,10,15,66.7,12,31,43,20,11,5,13,22,4
2015,MIN,MIN @ DAL,11/17/2017,W,240,111,39,84,46.4,13,30,43.3,20,23,87.0,11,37,48,27,7,0,10,18,24
2016,DAL,DAL vs. MIN,11/17/2017,L,240,87,32,86,37.2,8,38,21.1,15,17,88.2,11,30,41,18,3,3,11,20,-24
2017,IND,IND vs. DET,11/17/2017,W,240,107,39,89,43.8,15,28,53.6,14,21,66.7,13,38,51,22,4,5,10,13,7
2018,DET,DET @ IND,11/17/2017,L,240,100,39,93,41.9,14,33,42.4,8,10,80.0,11,32,43,20,4,8,11,18,-7
2019,LAC,LAC @ CLE,11/17/2017,L,265,113,46,103,44.7,10,35,28.6,11,14,78.6,13,42,55,29,7,10,15,26,-5
2020,CLE,CLE vs. LAC,11/17/2017,W,265,118,42,90,46.7,11,33,33.3,23,29,79.3,8,43,51,24,9,4,15,20,5
2021,UTA,UTA @ BKN,11/17/2017,L,240,107,39,79,49.4,12,26,46.2,17,24,70.8,10,29,39,21,6,6,16,19,-11
2022,BKN,BKN vs. UTA,11/17/2017,W,240,118,43,84,51.2,17,37,45.9,15,20,75.0,4,32,36,27,8,2,13,21,11
2023,CHI,CHI vs. CHA,11/17/2017,W,240,123,47,91,51.6,17,34,50.0,12,13,92.3,4,31,35,26,9,2,11,23,3
2024,CHA,CHA @ CHI,11/17/2017,L,240,120,42,81,51.9,10,21,47.6,26,34,76.5,5,37,42,19,3,2,13,15,-3
2025,PHX,PHX @ LAL,11/17/2017,W,240,122,48,103,46.6,13,32,40.6,13,19,68.4,9,35,44,28,10,5,14,22,9
2026,LAL,LAL vs. PHX,11/17/2017,L,240,113,45,91,49.5,7,25,28.0,16,24,66.7,9,40,49,26,7,10,19,20,-9
2027,OKC,OKC @ SAS,11/17/2017,L,240,101,39,89,43.8,9,23,39.1,14,21,66.7,13,28,41,24,7,3,9,22,-3
2028,SAS,SAS vs. OKC,11/17/2017,W,240,104,34,77,44.2,14,35,40.0,22,28,78.6,12,32,44,23,6,7,13,18,3
2029,BOS,BOS vs. GSW,11/16/2017,W,240,92,26,79,32.9,7,32,21.9,33,38,86.8,7,45,52,15,8,5,15,15,4
2030,GSW,GSW @ BOS,11/16/2017,L,240,88,33,82,40.2,10,32,31.3,12,19,63.2,7,40,47,22,9,10,15,24,-4
2031,PHX,PHX vs. HOU,11/16/2017,L,240,116,47,104,45.2,10,30,33.3,12,21,57.1,16,31,47,28,9,5,15,22,-26
2032,HOU,HOU @ PHX,11/16/2017,W,240,142,43,90,47.8,21,44,47.7,35,38,92.1,12,39,51,27,9,9,14,20,26
2033,TOR,TOR @ NOP,11/15/2017,W,240,125,45,76,59.2,16,34,47.1,19,20,95.0,6,31,37,27,8,6,21,20,9
2034,NOP,NOP vs. TOR,11/15/2017,L,240,116,46,91,50.5,10,27,37.0,14,14,100.0,10,22,32,31,13,3,14,21,-9
2035,OKC,OKC vs. CHI,11/15/2017,W,240,92,26,72,36.1,8,30,26.7,32,37,86.5,11,37,48,15,7,2,14,19,13
2036,CHI,CHI @ OKC,11/15/2017,L,240,79,26,75,34.7,11,29,37.9,16,20,80.0,6,32,38,16,7,2,17,27,-13
2037,IND,IND @ MEM,11/15/2017,W,240,116,43,85,50.6,12,24,50.0,18,20,90.0,5,31,36,29,6,6,12,17,3
2038,MEM,MEM vs. IND,11/15/2017,L,240,113,44,86,51.2,8,32,25.0,17,22,77.3,11,32,43,29,5,10,14,19,-3
2039,CLE,CLE @ CHA,11/15/2017,W,240,115,42,95,44.2,13,38,34.2,18,20,90.0,16,35,51,25,9,4,14,24,8
2040,CHA,CHA vs. CLE,11/15/2017,L,240,107,41,86,47.7,6,26,23.1,19,28,67.9,8,33,41,21,7,5,13,19,-8
2041,MIN,MIN vs. SAS,11/15/2017,W,240,98,39,87,44.8,9,18,50.0,11,16,68.8,11,30,41,27,9,4,7,16,12
2042,SAS,SAS @ MIN,11/15/2017,L,240,86,33,79,41.8,7,24,29.2,13,15,86.7,13,32,45,20,4,4,16,18,-12
2043,DET,DET @ MIL,11/15/2017,L,240,95,30,85,35.3,15,37,40.5,20,23,87.0,17,28,45,23,7,3,18,20,-4
2044,MIL,MIL vs. DET,11/15/2017,W,240,99,38,78,48.7,8,22,36.4,15,20,75.0,11,32,43,24,10,16,15,19,4
2045,ATL,ATL vs. SAC,11/15/2017,W,240,126,50,79,63.3,16,32,50.0,10,16,62.5,9,44,53,40,9,6,19,23,46
2046,SAC,SAC @ ATL,11/15/2017,L,240,80,31,88,35.2,6,28,21.4,12,20,60.0,11,18,29,18,12,2,12,19,-46
2047,ORL,ORL @ POR,11/15/2017,L,240,94,37,79,46.8,11,29,37.9,9,9,100.0,7,34,41,19,6,4,15,16,-5
2048,POR,POR vs. ORL,11/15/2017,W,240,99,38,87,43.7,14,27,51.9,9,13,69.2,10,31,41,21,7,2,13,10,5
2049,MIA,MIA vs. WAS,11/15/2017,L,240,93,32,78,41.0,13,30,43.3,16,19,84.2,12,30,42,15,3,3,17,20,-9
2050,WAS,WAS @ MIA,11/15/2017,W,240,102,32,78,41.0,9,19,47.4,29,31,93.5,11,29,40,9,8,2,12,19,9
2051,UTA,UTA @ NYK,11/15/2017,L,240,101,34,79,43.0,17,35,48.6,16,17,94.1,9,28,37,19,5,10,13,23,-5
2052,NYK,NYK vs. UTA,11/15/2017,W,240,106,38,81,46.9,9,21,42.9,21,25,84.0,12,33,45,18,4,5,11,19,5
2053,PHI,PHI @ LAL,11/15/2017,W,240,115,42,86,48.8,7,32,21.9,24,30,80.0,8,44,52,27,7,15,16,19,6
2054,LAL,LAL vs. PHI,11/15/2017,L,240,109,42,109,38.5,3,27,11.1,22,27,81.5,22,35,57,18,7,6,9,23,-6
2055,DAL,DAL vs. SAS,11/14/2017,L,240,91,33,81,40.7,10,34,29.4,15,18,83.3,5,35,40,18,7,4,15,23,-6
2056,SAS,SAS @ DAL,11/14/2017,W,240,97,35,79,44.3,6,26,23.1,21,27,77.8,8,39,47,18,9,7,12,16,6
2057,HOU,HOU vs. TOR,11/14/2017,L,240,113,33,79,41.8,12,39,30.8,35,41,85.4,14,34,48,21,4,4,19,27,-16
2058,TOR,TOR @ HOU,11/14/2017,W,240,129,41,78,52.6,14,30,46.7,33,42,78.6,5,31,36,28,11,4,13,30,16
2059,BOS,BOS @ BKN,11/14/2017,W,240,109,39,86,45.3,9,27,33.3,22,27,81.5,9,40,49,15,8,3,14,14,7
2060,BKN,BKN vs. BOS,11/14/2017,L,240,102,39,88,44.3,14,35,40.0,10,16,62.5,9,34,43,26,4,3,15,24,-7
2061,NOP,NOP vs. ATL,11/13/2017,W,240,106,41,75,54.7,13,33,39.4,11,17,64.7,7,31,38,31,10,5,19,13,1
2062,ATL,ATL @ NOP,11/13/2017,L,240,105,40,87,46.0,17,36,47.2,8,9,88.9,10,26,36,25,14,1,16,18,-1
2063,WAS,WAS vs. SAC,11/13/2017,W,240,110,44,86,51.2,11,34,32.4,11,12,91.7,10,40,50,30,7,1,11,21,18
2064,SAC,SAC @ WAS,11/13/2017,L,240,92,34,84,40.5,12,23,52.2,12,18,66.7,10,25,35,19,8,4,10,15,-18
2065,MIL,MIL vs. MEM,11/13/2017,W,240,110,40,82,48.8,12,22,54.5,18,25,72.0,10,26,36,23,6,5,11,19,7
2066,MEM,MEM @ MIL,11/13/2017,L,240,103,37,76,48.7,11,26,42.3,18,21,85.7,8,29,37,21,5,1,15,25,-7
2067,UTA,UTA vs. MIN,11/13/2017,L,240,98,37,84,44.0,14,40,35.0,10,11,90.9,8,23,31,23,8,4,15,23,-11
2068,MIN,MIN @ UTA,11/13/2017,W,240,109,37,71,52.1,10,20,50.0,25,29,86.2,5,35,40,22,9,5,17,13,11
2069,LAC,LAC vs. PHI,11/13/2017,L,240,105,36,82,43.9,12,32,37.5,21,32,65.6,9,25,34,16,8,4,15,26,-4
2070,PHI,PHI @ LAC,11/13/2017,W,240,109,38,77,49.4,7,32,21.9,26,35,74.3,10,41,51,27,9,2,20,26,4
2071,DEN,DEN @ POR,11/13/2017,L,240,82,30,84,35.7,9,32,28.1,13,15,86.7,12,23,35,13,9,2,20,16,-17
2072,POR,POR vs. DEN,11/13/2017,W,240,99,38,73,52.1,7,21,33.3,16,18,88.9,8,35,43,22,12,5,22,18,17
2073,LAL,LAL @ PHX,11/13/2017,W,240,100,39,92,42.4,14,33,42.4,8,13,61.5,9,44,53,17,6,6,16,20,7
2074,PHX,PHX vs. LAL,11/13/2017,L,240,93,37,95,38.9,7,26,26.9,12,20,60.0,11,43,54,15,6,4,17,17,-7
2075,NYK,NYK vs. CLE,11/13/2017,L,240,101,38,88,43.2,8,25,32.0,17,22,77.3,13,36,49,19,13,3,17,21,-3
2076,CLE,CLE @ NYK,11/13/2017,W,240,104,35,88,39.8,16,45,35.6,18,22,81.8,14,34,48,21,7,7,20,21,3
2077,ORL,ORL @ GSW,11/13/2017,L,240,100,37,88,42.0,10,32,31.3,16,18,88.9,4,31,35,26,10,3,11,18,-10
2078,GSW,GSW vs. ORL,11/13/2017,W,240,110,44,88,50.0,8,23,34.8,14,16,87.5,12,38,50,35,4,5,16,21,10
2079,DAL,DAL @ OKC,11/12/2017,L,240,99,37,87,42.5,11,37,29.7,14,18,77.8,11,30,41,18,9,4,20,20,-13
2080,OKC,OKC vs. DAL,11/12/2017,W,240,112,36,72,50.0,15,32,46.9,25,33,75.8,3,34,37,21,10,4,17,23,13
2081,IND,IND vs. HOU,11/12/2017,L,240,95,37,83,44.6,8,22,36.4,13,21,61.9,7,34,41,18,5,7,13,15,-23
2082,HOU,HOU @ IND,11/12/2017,W,240,118,43,90,47.8,17,47,36.2,15,18,83.3,10,37,47,24,10,5,13,20,23
2083,MIA,MIA @ DET,11/12/2017,L,240,103,39,90,43.3,13,37,35.1,12,16,75.0,7,32,39,25,8,5,9,22,-9
2084,DET,DET vs. MIA,11/12/2017,W,240,112,42,87,48.3,14,28,50.0,14,20,70.0,11,43,54,24,2,5,13,17,9
2085,BOS,BOS vs. TOR,11/12/2017,W,240,95,35,87,40.2,10,26,38.5,15,19,78.9,15,31,46,24,9,2,15,18,1
2086,TOR,TOR @ BOS,11/12/2017,L,240,94,32,69,46.4,10,24,41.7,20,23,87.0,6,30,36,18,8,8,17,20,-1
2087,NOP,NOP vs. LAC,11/11/2017,W,240,111,43,80,53.8,6,16,37.5,19,24,79.2,8,43,51,26,7,4,23,19,8
2088,LAC,LAC @ NOP,11/11/2017,L,240,103,35,86,40.7,10,26,38.5,23,27,85.2,8,29,37,16,12,1,12,24,-8
2089,ATL,ATL @ WAS,11/11/2017,L,240,94,34,83,41.0,14,33,42.4,12,17,70.6,10,22,32,19,11,1,24,23,-19
2090,WAS,WAS vs. ATL,11/11/2017,W,240,113,42,78,53.8,7,24,29.2,22,28,78.6,11,31,42,22,14,10,23,22,19
2091,ORL,ORL @ DEN,11/11/2017,L,240,107,41,87,47.1,11,31,35.5,14,20,70.0,8,28,36,24,7,5,12,19,-18
2092,DEN,DEN vs. ORL,11/11/2017,W,240,125,46,87,52.9,12,29,41.4,21,27,77.8,13,37,50,29,9,4,13,16,18
2093,LAL,LAL @ MIL,11/11/2017,L,240,90,31,74,41.9,6,22,27.3,22,37,59.5,8,40,48,21,7,9,23,22,-8
2094,MIL,MIL vs. LAL,11/11/2017,W,240,98,35,85,41.2,6,23,26.1,22,26,84.6,9,33,42,16,11,4,16,27,8
2095,DAL,DAL vs. CLE,11/11/2017,L,240,104,39,92,42.4,10,34,29.4,16,21,76.2,9,33,42,21,7,3,11,26,-7
2096,CLE,CLE @ DAL,11/11/2017,W,240,111,35,81,43.2,12,31,38.7,29,35,82.9,10,43,53,18,8,3,17,18,7
2097,BKN,BKN @ UTA,11/11/2017,L,240,106,35,76,46.1,7,23,30.4,29,39,74.4,10,31,41,13,7,4,17,22,-8
2098,UTA,UTA vs. BKN,11/11/2017,W,240,114,41,85,48.2,11,29,37.9,21,25,84.0,12,32,44,19,12,3,16,29,8
2099,HOU,HOU vs. MEM,11/11/2017,W,240,111,37,83,44.6,16,45,35.6,21,28,75.0,11,35,46,18,14,4,15,19,15
2100,MEM,MEM @ HOU,11/11/2017,L,240,96,38,79,48.1,6,20,30.0,14,18,77.8,5,36,41,23,9,5,20,20,-15
2101,PHX,PHX vs. MIN,11/11/2017,W,240,118,46,86,53.5,10,26,38.5,16,24,66.7,7,39,46,21,4,10,18,25,8
2102,MIN,MIN @ PHX,11/11/2017,L,240,110,39,96,40.6,4,20,20.0,28,35,80.0,19,28,47,16,12,4,11,21,-8
2103,NYK,NYK vs. SAC,11/11/2017,W,240,118,47,90,52.2,12,27,44.4,12,15,80.0,8,32,40,29,6,6,11,22,27
2104,SAC,SAC @ NYK,11/11/2017,L,240,91,30,80,37.5,7,22,31.8,24,30,80.0,11,31,42,19,6,4,13,18,-27
2105,CHI,CHI @ SAS,11/11/2017,L,240,94,40,86,46.5,6,23,26.1,8,13,61.5,5,23,28,22,9,4,13,15,-39
2106,SAS,SAS vs. CHI,11/11/2017,W,240,133,51,85,60.0,18,27,66.7,13,16,81.3,8,36,44,33,5,6,14,16,39
2107,PHI,PHI @ GSW,11/11/2017,L,240,114,44,94,46.8,12,28,42.9,14,20,70.0,13,25,38,30,10,2,20,19,-21
2108,GSW,GSW vs. PHI,11/11/2017,W,240,135,48,82,58.5,14,27,51.9,25,26,96.2,4,35,39,31,15,11,22,23,21
2109,OKC,OKC vs. LAC,11/10/2017,W,240,120,40,78,51.3,11,26,42.3,29,40,72.5,11,29,40,23,8,7,11,29,9
2110,LAC,LAC @ OKC,11/10/2017,L,240,111,39,84,46.4,12,30,40.0,21,30,70.0,16,30,46,13,4,2,19,30,-9
2111,UTA,UTA vs. MIA,11/10/2017,L,240,74,25,74,33.8,5,21,23.8,19,22,86.4,4,36,40,12,10,7,18,20,-10
2112,MIA,MIA @ UTA,11/10/2017,W,240,84,30,77,39.0,10,25,40.0,14,18,77.8,7,41,48,10,9,6,20,20,10
2113,POR,POR vs. BKN,11/10/2017,L,240,97,40,95,42.1,8,23,34.8,9,11,81.8,12,39,51,17,4,4,11,17,-4
2114,BKN,BKN @ POR,11/10/2017,W,240,101,39,91,42.9,12,38,31.6,11,19,57.9,11,38,49,25,7,4,10,13,4
2115,ATL,ATL @ DET,11/10/2017,L,240,104,44,89,49.4,8,24,33.3,8,11,72.7,11,34,45,28,11,7,16,21,-7
2116,DET,DET vs. ATL,11/10/2017,W,240,111,39,89,43.8,12,30,40.0,21,27,77.8,20,31,51,23,7,5,17,18,7
2117,BOS,BOS vs. CHA,11/10/2017,W,240,90,30,84,35.7,9,31,29.0,21,25,84.0,9,40,49,15,6,5,13,26,3
